column,dtype,missing_count,missing_pct,unique_values
license,float64,96871,100.0,0
calendar_updated,float64,96871,100.0,0
neighbourhood_group_cleansed,float64,96871,100.0,0
neighborhood_overview,str,55663,57.46,33388
neighbourhood,str,55662,57.46,1
host_neighbourhood,str,51021,52.67,624
host_about,str,47038,48.56,24306
beds,float64,34920,36.05,27
price,str,34908,36.04,1350
estimated_revenue_l365d,float64,34908,36.04,7651
bathrooms,float64,34846,35.97,30
host_response_rate,str,31707,32.73,92
host_response_time,str,31707,32.73,4
host_acceptance_rate,str,27760,28.66,101
review_scores_location,float64,24166,24.95,169
review_scores_value,float64,24166,24.95,187
review_scores_checkin,float64,24165,24.95,167
review_scores_communication,float64,24142,24.92,164
review_scores_accuracy,float64,24137,24.92,177
review_scores_cleanliness,float64,24131,24.91,204
last_review,str,24122,24.9,3605
review_scores_rating,float64,24122,24.9,184
first_review,str,24122,24.9,4591
reviews_per_month,float64,24122,24.9,910
host_location,str,23771,24.54,1766
bedrooms,float64,12775,13.19,22
has_availability,str,4249,4.39,1
description,str,2450,2.53,83379
host_is_superhost,str,1766,1.82,2
bathrooms_text,str,153,0.16,50
host_name,str,43,0.04,16672
host_has_profile_pic,str,41,0.04,2
host_since,str,41,0.04,5489
host_verifications,str,41,0.04,8
host_identity_verified,str,41,0.04,2
host_listings_count,float64,41,0.04,147
host_picture_url,str,41,0.04,52765
host_total_listings_count,float64,41,0.04,216
host_thumbnail_url,str,41,0.04,52765
picture_url,str,6,0.01,94609
minimum_minimum_nights,float64,3,0.0,125
maximum_minimum_nights,float64,3,0.0,160
maximum_maximum_nights,float64,3,0.0,289
minimum_maximum_nights,float64,3,0.0,284
last_scraped,str,0,0.0,5
source,str,0,0.0,2
name,str,0,0.0,93340
host_id,int64,0,0.0,55646
host_url,str,0,0.0,55646
listing_url,str,0,0.0,96871
id,int64,0,0.0,96871
scrape_id,int64,0,0.0,1
minimum_nights,int64,0,0.0,136
property_type,str,0,0.0,91
latitude,float64,0,0.0,54112
neighbourhood_cleansed,str,0,0.0,33
amenities,str,0,0.0,85530
maximum_nights,int64,0,0.0,305
longitude,float64,0,0.0,63584
accommodates,int64,0,0.0,16
room_type,str,0,0.0,4
availability_30,int64,0,0.0,31
maximum_nights_avg_ntm,float64,0,0.0,2284
estimated_occupancy_l365d,int64,0,0.0,104
number_of_reviews_ly,int64,0,0.0,148
availability_eoy,int64,0,0.0,110
number_of_reviews_l30d,int64,0,0.0,29
number_of_reviews,int64,0,0.0,571
number_of_reviews_ltm,int64,0,0.0,146
calendar_last_scraped,str,0,0.0,5
availability_365,int64,0,0.0,366
minimum_nights_avg_ntm,float64,0,0.0,750
availability_90,int64,0,0.0,91
availability_60,int64,0,0.0,61
instant_bookable,str,0,0.0,2
calculated_host_listings_count,int64,0,0.0,98
calculated_host_listings_count_entire_homes,int64,0,0.0,87
calculated_host_listings_count_private_rooms,int64,0,0.0,46
calculated_host_listings_count_shared_rooms,int64,0,0.0,13
